Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bermuda,4943720834.23487,5092455993.93519,5122991040.76808,5348359015.58225,5487441777.63634,5739864145.64664,5963718852.73555,6165450410.7722,6739895068.97791,7226679645.63174,7119884453.30351,7362722827.73814,7533631299.4758,7659759815.30576,8084406664.52899,8354841362.08309,8198943712.90485,7737613934.72433,7543950875.42882,7261600082.73073,6876350478.40565,6857116738.50431,6603330213.03728,6654541000.0,6610806937.02849,6849550930.14215,6819905984.64909,6840793088.0543,6372686534.51154,6718028461.70344,7150073873.98764,7143293917.04073
Bhutan,498886989.120712,508796713.625178,533989801.683212,571764867.255993,603584570.650709,636020231.15926,673634664.347661,727417465.439946,751822818.858646,806919210.240033,891192073.640849,960585283.946415,1010125138.20547,1080178038.44107,1141108778.10455,1324881878.01365,1384891722.90548,1491078190.55007,1668991760.00271,1810676784.21072,1904194982.8558,1937258289.57895,2051190105.7766,2187815803.82922,2373253832.0828,2422779967.13104,2507622616.47827,2651940022.03121,2380954251.57499,2486224986.71556,2615853471.01817,2615853471.01817
Bolivia,12812599025.0506,13359606817.6646,13983135084.5191,14637304820.719,15275687736.5723,16032477193.9706,16838807348.1389,16910689762.0459,17334777867.7741,17626660706.2169,18064782945.4556,18554580601.9245,19328918095.7722,20183533283.5262,21151739156.0432,22117185810.676,23477060510.1715,24265185331.5574,25266542216.3966,26581436430.5092,27943010857.8463,29842021069.1031,31471565392.0531,33000198248.1292,34407300577.6622,35850757819.5236,37364958855.7283,38193230057.4451,34855949753.4171,36986126769.1183,38319728286.388,39500728992.5704
Bosnia and Herzegovina,2985402939.16842,2920280897.21983,3245365558.78904,3763595298.41927,5803437611.28488,7929882641.93997,9247541638.9754,10128052806.5906,10676417585.1095,10935140618.7269,11484898712.3276,11929035686.0139,12683578944.5033,13177880591.4628,13891331517.2397,14704964354.8142,15505477767.974,15039622521.6786,15169815910.7044,15315372000.5534,15189504687.2909,15546436275.2992,15725819000.0295,16404348871.4437,16936219727.6767,17485647794.2627,18154910824.6593,18679105433.9912,18115912632.4361,19454671753.5435,20276983961.3676,20725333315.9436
Botswana,5833040675.49628,5944807979.21822,6160480628.0856,6593587689.50958,6977980665.54234,7558959721.65963,7592496073.43073,8326480944.19697,8491986059.02571,8513264763.90086,9029979997.34259,9447697367.92895,9703335214.03812,10145481816.2871,10994036837.1472,11630872553.1126,12009117014.1882,10310519328.3503,11354171655.915,12130630062.2477,12109898723.1018,13454439438.0193,14220639811.9916,13530748844.505,14505561464.3559,15102373014.4202,15734874525.0984,16211987795.536,14796883501.255,16560766198.0276,17469294498.1394,17946869751.4987
Brazil,921636677135.004,967024426444.37,1023623112494.87,1066858840351.51,1090424301744.44,1127442527385.92,1131254386908.34,1136547951157.1,1186419100699.97,1202909097080.86,1239639467559.79,1253781634079.45,1325999012823.98,1368459252346.2,1422677453441.88,1509032134017.69,1585905180276.35,1583909921216.67,1703150236842.0,1770840632932.71,1804861597918.79,1859094488365.14,1868463501755.79,1802212206904.68,1743173232503.86,1766233131755.03,1797736845059.11,1819683217790.43,1760056587883.53,1843881120012.46,1899505377653.06,1954752120905.5
Brunei,11244830849.2983,11173577997.5312,11284501978.3985,11436537376.5575,11433413457.7841,12158742942.4515,11349316035.5518,11832878891.6485,12244033124.2164,12423538058.8336,12915688955.2488,13378513489.2322,13392499178.5515,13391973497.6844,13940831828.212,13416151408.817,12892826139.0708,12647829712.4652,12994552805.373,13481121670.6159,13604222554.7176,13315162321.2607,12981233067.5755,12930296852.4882,12609894729.6867,12777445744.2444,12784137427.3154,13278735782.1319,13429259999.6183,13215632370.1015,13000438059.9791,13183363105.8086
Bulgaria,32796334206.5532,32310877995.9888,32898293420.1207,33839848852.0943,35601345729.9785,30576080319.7136,31734644752.9483,29070175025.9798,30403689510.6865,31566236716.3582,33419784415.5172,35170029869.751,37459748348.2042,40103039005.5213,42831083920.5471,45681230278.8897,48481288148.9463,46858550898.038,47587369884.0741,48582029321.1084,48945818793.831,48680164577.7112,49142357906.2347,50811995688.6771,52349886250.8068,53787375622.383,55158665587.1604,57248544889.4673,55407582000.7787,59718632534.0491,62130535277.7185,63302823436.9332
Burkina Faso,3325969079.69165,3441093672.50713,3486344304.54047,3685636779.12882,4091600230.31209,4350059854.87114,4667950033.01846,5013156038.3976,5107828181.20084,5445629583.60137,5682675869.68484,6126066307.13183,6400419254.55947,6954815456.4763,7389711520.7284,7693530569.65392,8139754707.2893,8380850241.73524,9088720451.70527,9690626654.34607,10315931043.8746,10913490102.1529,11385699970.03,11832159315.6298,12537116611.6541,13314855313.1302,14194244128.6065,15030172259.3791,15332394848.5201,16396850182.5889,16642350339.7932,17134994111.3648
Burundi,2530356483.61119,2372462238.99867,2281596935.33521,2100894457.97115,1932822901.37672,1902091017.30555,1992440340.53429,1972316693.16467,1955416620.30264,1995616214.18073,2084351676.53824,2058844882.28283,2158362397.86831,2177787659.46859,2295688883.37796,2374934882.81749,2490397480.72402,2585349995.27363,2717827465.44662,2827426575.50415,2953153932.04472,3098572839.6491,3229972475.40545,3104003546.26497,3085379496.76838,3100806433.20295,3150727414.31633,3207836406.88248,3218331064.79216,3318099327.75908,3379450965.7308,3470696161.98259
Cape Verde,352704163.840723,383418741.333134,456968584.432283,521911297.414696,581130092.023103,645742611.607662,726572059.757413,808112687.727471,923550525.289887,944160982.565559,993737848.225922,1035238917.7863,1140802982.16763,1219660508.68448,1317035160.01005,1516838454.63714,1623608884.79583,1599196517.15668,1628564468.24228,1692481034.54407,1710821579.61286,1721636311.15762,1733630380.4449,1749857620.35329,1824764034.95256,1907814790.72833,1978536809.33193,2116002110.92756,1675762033.71886,1793627260.88123,2077803747.08658,2191572559.72877
Cambodia,6997355850.27159,7284133439.52663,4748625742.75756,5218904416.42089,5526689596.98918,5748123107.35201,6017229084.13718,6781740973.22262,7459479704.67578,8010713670.8994,8512590714.58905,9387998414.66106,10275886653.5849,11642922159.7044,12917049054.0975,14260222987.8994,15326369460.3469,15950885068.8658,16760698493.0409,17981993293.903,19357661918.8519,20878690156.7817,22549052336.9265,24174170369.0738,26085259688.3373,28191654621.9478,30665817313.8491,33099747942.811,31922812945.0881,32909177695.673,34588654431.0863,36304274723.1727
