Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Europe & Central Asia,ECS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,13507865861308,13532397884294.5,13437930495219.8,13336469721407,13504623871137.4,13799533106295.2,14049160970438.8,14484929449378.5,14863162559053.3,15295992101868.7,15966173596452.6,16324988884579.6,16582129419227.6,16883080674540.5,17422592453491.6,17894868290063.1,18594436391931.2,19271853340223.3,19464360928863,18601521788137,19090094466540.1,19544563587559.1,19605491986628.2,19776016030917.2,20160195310364.5,20583236057318.3,20970219841563.2,21573000315957,22030706426596.1,22439576510417.5,21225512851728.8,22657010856694.6,23392327133708.6,23630026939259.3,..
Europe & Central Asia (excluding high income),ECA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,737404845098.294,702847336362.654,669655683287.556,655919727999.494,590269315156.209,595761363844.612,619287872546.66,654009758831.383,669375446804.619,660924289636.56,705691749354.704,704909601914.462,750041750560.108,799540683083.643,875801128555.748,949941271476.442,1027579199614.65,1100784547167.53,1134385964216.69,1095082072254.37,1172612395863.82,1272339605489.19,1323854144310.44,1409923040879.75,1457249190086.57,1509288407449.5,1551185796651.4,1641541930861.36,1698995210945.64,1738193065542.9,1743268489213.33,1900944480354.76,1959943174348.6,2058774213973.77,..
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2298747283395.41,2163153291719.49,1956638463342.33,1865600018663.51,1708448629937.06,1707731158505.17,1725240332183.01,1776277825269.3,1765596369447.06,1808689655426.08,1941953299697.98,1992293135633.28,2091772716195.11,2221077271707.43,2395396277935.07,2553774956503.9,2754018863128.22,2963492348298.24,3096053310126,2950801917304.24,3088547930159.7,3271580884542.9,3384422116461.45,3497448867935.27,3579283046183.68,3632527035829.26,3700007289233.98,3858954641110.18,4003014497689.06,4111028773128.14,4050887163670.15,4350328682754.02,4425605811352.67,4587133497442.34,..
European Union,EUU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,9137081390856.05,9270510147123.6,9354108862472.62,9298356988319.14,9549563935190.8,9809786551827.41,9997765965031.59,10266314052830.8,10572469775388.2,10890061092406.1,11318534007345.5,11563177080157.1,11690138584403.2,11799825426851.3,12106691064531.7,12346863024368,12787037124124.6,13188759129146.8,13270973190778.7,12698879094784.7,12976295644548.1,13230730453866.3,13130043284418.8,13125102945888.3,13338839168176.5,13655089869785.3,13920536464164.8,14309680304964.5,14603024724373.1,14876936810776.6,14047261785039.8,14940354568036.3,15462923840803,15529080146569.1,..
Faroe Islands,FRO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2166314314.46368,2067675562.88792,2059822159.10004,2133282898.13186,2284350973.3955,2418125853.51823,2549481885.27429,2573905971.05459,2609591837.86672,2701241060.07126,2775895516.47884,2901879820.04399,2854366727.12733,3011481923.30763,3118570937.35915,3196193980.39855,..
Fiji,FJI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2640835909.46291,2569533241.37876,2726274818.17778,2784345355.70096,2926346957.9416,2999505589.12067,3143481870.30262,3074325289.001,3114291531.63976,3388349146.53847,3330747264.7169,3397362214.89918,3506077775.66624,3541138530.44959,3728818862.10322,3754920609.14392,3824479907.83452,3791946804.66169,3831109812.09556,3778009185.47898,3889636980.98758,3994857224.63258,4051237219.17538,4243031681.17411,4480790593.48834,4682479912.05203,4796997076.03127,5053797835.53178,5246466346.36038,5215934725.85137,4327208949.46684,4115996320.43426,4930664222.84568,5301661741.40568,..
Finland,FIN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,156033016834.375,146857345228.906,141994350229.297,140887056364.453,146472344255.859,152674521314.453,158266466283.203,168391880923.047,177576428631.641,185370756688.281,196036504105.859,201212381740.625,204607491185.937,208723784010.156,217083963641.016,223113056688.672,232081249383.594,244411266137.109,246328504412.109,226434938283.203,233609048633.984,239193227012.5,235550696192.578,233242909380.078,232127848925,233210733506.25,239208760192.969,247110711000,250058686750.391,253433824963.672,247120696616.016,253878739632.812,257560103403.906,254562199573.437,..
Fragile and conflict affected situations,FCS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,774153639005.584,727690094882.886,729111146673.635,715096001447.034,690503774105.44,688305206000.563,711765878269.521,744109414034.897,780904697893.986,805207219924.758,849068369099.344,883963606217.326,926309492471.001,936215133152.884,1041693179813.99,1102461137105.81,1166619694281.87,1236473836963.96,1298796880130.1,1338561724969.63,1432499270515.11,1433024980677.8,1512830994255.51,1566387267407.08,1603173061410.88,1616325901440.2,1651350417930.8,1693690009593.13,1739679566858.29,1779581892529.49,1689525734164.81,1731373741969.25,1750397023337.34,1782121594449.61,..
France,FRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1630899061497,1651067777946.68,1676098974581.98,1670081815454.98,1709890902753.87,1749300344619.07,1773739467452.5,1818562957208.6,1881350559081.67,1945303460153.52,2025858476369.78,2064338989662.44,2086380974391.26,2106573536491.98,2166995343999.61,2207920477001.03,2267844863251.48,2325232266173.56,2334072134826.58,2268145065263.81,2313515331848.51,2369909039492.57,2374265768198.23,2392826743884.24,2416703157283.96,2442483452642.5,2463489569508.32,2514819204022.09,2556210832827.89,2608036639287.32,2413981867221.76,2580120255345.61,2646451031159.26,2671234714330.38,..
French Polynesia,PYF,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5164114972.43613,5352890580.22183,5274878179.69449,5206427003.26151,5119670999.95393,5099757045.51805,5065663305.06203,5059441928.32768,5147140999.49425,5244449387.70627,5414653325.7104,5396157109.38092,5441818391.62376,5557561996.89049,5611540325.19001,5628934611.80324,5679008720.0998,5775834435.2591,5776225317.78073,5531810591.56165,5395392591.51462,5235583358.463,5187021348.3422,5207707262.84186,5238617841.19666,5325846361.81186,5452049984.38591,5690550040.86988,5794802523.94005,5951258396.41142,5531635723.06513,5647511817.96257,5899733908.23199,..,..
